salads,veggies,aerobic,sports,healthy_diet,smoking
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Once in a while
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
lots_of_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Some days
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,lots_of_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,lots_of_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
lots_of_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Once in a while
lots_of_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Once in a while
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
lots_of_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
lots_of_salads,lots_of_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,lots_of_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,lots_of_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
lots_of_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,lots_of_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Once in a while
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
lots_of_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,lots_of_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,lots_of_veggies,lots_of_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,unhealthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,few_aerobic,few_sports,healthy,Never
few_salads,few_veggies,lots_of_aerobic,few_sports,healthy,Never
